Year,Month,Country,Predicted_Accession,Predicted_Probability,Actual_Accession,Previous_Actual_Dominant_Accession,Actual_Count,Actual_New_DNA_From_Previous_Dominant,Match,Previous_Predicted_Dominant_Accession,Predicted_New_DNA_From_Previous_Dominant,Predicted_Title,Actual_Title
2025,1,France,OR267739.1,0.22771425545215607,PZ084836.1,,57,False,False,,False,Influenza B virus,Influenza B virus
2025,2,France,OR267739.1,0.23023846745491028,PZ084836.1,PZ084836.1,58,False,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,1,USA,OR267739.1,0.003673109458759427,PZ082377.1,,10,False,False,,False,Influenza B virus,Influenza B virus
2025,2,USA,OR267739.1,0.00375701067969203,PX701439.1,PZ082377.1,32,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,3,USA,OR267739.1,0.0038442036602646112,PX701439.1,PX701439.1,38,False,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,4,USA,OR267739.1,0.003927832935005426,PX938521.1,PX701439.1,42,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,5,USA,OR267739.1,0.0040205735713243484,PX938442.1,PX938521.1,38,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,6,USA,OR267739.1,0.004113106057047844,PX938442.1,PX938442.1,7,False,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,7,USA,OR267739.1,0.004204826895147562,PX701448.1,PX938442.1,3,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,8,USA,OR267739.1,0.004305307753384113,PX467683.1,PX701448.1,2,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,9,USA,OR267739.1,0.004401295445859432,PX707766.1,PX467683.1,2,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,10,USA,OR267739.1,0.004504334647208452,PZ280820.1,PX707766.1,5,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,11,USA,OR267739.1,0.004607553128153086,PZ280847.1,PZ280820.1,49,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,12,USA,OR267739.1,0.004713413771241903,PZ280846.1,PZ280847.1,206,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,1,United Kingdom,OR267739.1,0.0028746812604367733,PV934680.1,,1,False,False,,False,Influenza B virus,Influenza B virus
2025,2,United Kingdom,OR267739.1,0.0029400296043604612,PV958272.1,PV934680.1,2,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,3,United Kingdom,OR267739.1,0.003007691353559494,PX208163.1,PV958272.1,3,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
2025,5,United Kingdom,OR267739.1,0.0031474435236305,PX448617.1,PX208163.1,1,True,False,OR267739.1,False,Influenza B virus,Influenza B virus
