Year,Month,Country,Accession,Probability,GenBank_Title
2020,1,France,JF701833.1,0.4803420901298523,"Influenza A virus (A/Corsica/79/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,1,France,JF701832.1,0.4803420901298523,"Influenza A virus (A/Corsica/3/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,1,France,JF701835.1,0.4803420901298523,"Influenza A virus (A/Corsica/86/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,2,France,JF701840.1,0.4803420901298523,"Influenza A virus (A/Corsica/71/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,2,France,CY078410.1,0.4803420901298523,Influenza A virus (A/Bucuresti/82.1.A/2009(H3N2)) segment 7 sequence
2020,2,France,JF701835.1,0.4803420901298523,"Influenza A virus (A/Corsica/86/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,3,France,JF701840.1,0.4803420901298523,"Influenza A virus (A/Corsica/71/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,3,France,JF701835.1,0.4803420901298523,"Influenza A virus (A/Corsica/86/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,3,France,CY078365.1,0.4803420901298523,Influenza A virus (A/Bucuresti/641/2009(H3N2)) segment 7 sequence
2020,4,France,CY078398.1,0.4803420901298523,Influenza A virus (A/Bucuresti/339/2009(H3N2)) segment 7 sequence
2020,4,France,JF701833.1,0.4803420901298523,"Influenza A virus (A/Corsica/79/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,4,France,JF701835.1,0.4803420901298523,"Influenza A virus (A/Corsica/86/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,5,France,JF701833.1,0.4803420901298523,"Influenza A virus (A/Corsica/79/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,5,France,JF701832.1,0.4803420901298523,"Influenza A virus (A/Corsica/3/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,5,France,JF701840.1,0.4803420901298523,"Influenza A virus (A/Corsica/71/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
2020,6,France,JF701833.1,0.4803420901298523,"Influenza A virus (A/Corsica/79/2009(H3N2)) segment 4 hemagglutinin (HA) gene, partial cds"
