angle,magnitude,occurrences
0.0,0.03,472
0.0,0.02,461
-1.57,0.03,457
0.0,0.01,455
1.57,0.01,455
0.0,0.05,452
1.57,0.02,449
-1.57,0.02,440
1.57,0.04,435
2.16,0.04,431
2.82,0.03,428
0.79,0.05,427
-1.19,0.06,427
-1.11,0.02,426
2.68,0.02,425
-2.36,0.02,423
-1.57,0.01,423
2.36,0.02,422
1.25,0.03,421
1.57,0.03,421
1.89,0.03,421
2.55,0.04,418
2.68,0.05,417
-2.5,0.05,417
2.6,0.06,416
1.57,0.05,415
1.95,0.06,415
-1.57,0.05,415
-2.68,0.02,414
2.04,0.02,412
-2.25,0.07,412
-2.36,0.05,410
0.79,0.03,409
0.59,0.04,408
-0.79,0.08,408
0.0,0.04,408
-2.21,0.05,406
-2.04,0.02,406
1.89,0.07,404
2.36,0.03,404
-1.57,0.07,403
-1.82,0.04,402
1.11,0.02,402
-1.57,0.06,402
2.04,0.05,401
0.98,0.04,401
1.33,0.04,400
1.77,0.05,400
-2.82,0.03,399
-1.11,0.05,399
-1.25,0.03,399
1.57,0.07,399
-2.55,0.04,398
0.46,0.02,398
-2.94,0.05,397
-1.37,0.05,397
-1.17,0.08,397
0.64,0.05,397
-1.95,0.06,396
-0.93,0.05,396
1.11,0.07,395
0.93,0.05,395
2.55,0.08,394
-2.9,0.04,394
-1.57,0.04,394
1.41,0.06,394
2.11,0.06,393
2.21,0.05,393
2.76,0.06,393
0.79,0.02,393
0.32,0.03,392
-1.77,0.05,392
2.36,0.05,392
-1.33,0.04,392
-1.74,0.06,391
-0.17,0.06,390
-0.54,0.06,390
2.47,0.07,390
-2.36,0.03,389
-0.79,0.03,389
0.24,0.04,388
-1.89,0.07,388
2.36,0.08,388
-0.98,0.04,387
2.82,0.07,387
-2.04,0.07,387
2.98,0.06,386
-1.89,0.03,386
-0.98,0.08,385
-0.32,0.03,385
-0.59,0.04,384
2.25,0.07,384
-0.79,0.02,383
-1.03,0.06,382
-2.16,0.04,382
1.89,0.1,381
1.82,0.04,381
1.37,0.05,381
0.46,0.05,381
-0.46,0.02,381
2.94,0.05,380
-2.76,0.06,380
1.03,0.06,380
1.19,0.06,380
-2.47,0.07,379
-0.46,0.05,379
-1.11,0.07,378
1.71,0.08,377
-1.57,0.09,377
-2.98,0.06,377
0.2,0.05,376
-0.86,0.1,376
-0.24,0.04,375
1.57,0.06,375
-1.43,0.08,375
2.9,0.04,375
1.85,0.08,375
-1.67,0.11,374
-0.79,0.05,374
-1.57,0.1,373
-0.79,0.06,373
-0.2,0.05,373
0.9,0.07,372
0.38,0.06,372
-2.68,0.05,372
2.5,0.05,371
-2.55,0.08,371
1.45,0.09,371
-2.36,0.06,371
2.04,0.07,371
-2.11,0.06,370
-1.05,0.09,370
-0.9,0.07,369
1.43,0.08,369
-1.41,0.06,369
2.62,0.09,369
0.0,0.06,368
1.74,0.06,367
2.45,0.08,367
1.11,0.05,366
-1.82,0.09,365
-2.68,0.07,365
1.25,0.07,365
2.27,0.08,365
-1.46,0.1,363
2.68,0.07,363
2.09,0.09,362
0.79,0.06,362
-1.37,0.11,362
0.32,0.07,361
-1.33,0.09,361
-2.52,0.09,360
0.67,0.07,360
-1.25,0.07,359
-0.46,0.07,359
-2.36,0.08,357
1.82,0.09,357
1.57,0.09,356
-2.43,0.1,356
-2.6,0.06,356
-0.95,0.09,356
2.36,0.06,356
0.98,0.08,356
2.19,0.09,355
-1.71,0.08,355
-0.67,0.07,354
1.99,0.1,354
2.36,0.09,354
-1.79,0.1,353
0.54,0.06,353
0.0,0.07,352
2.9,0.09,352
-2.04,0.05,352
-0.93,0.11,351
-1.45,0.09,351
1.57,0.1,351
-1.98,0.08,351
0.88,0.08,351
2.04,0.12,350
-0.52,0.09,350
-0.79,0.09,349
-0.14,0.08,349
2.16,0.08,349
-1.29,0.08,348
1.33,0.09,348
-0.38,0.06,348
-3.0,0.08,347
0.46,0.07,347
-0.64,0.05,347
1.93,0.09,347
-2.16,0.08,346
0.0,0.09,345
2.43,0.1,345
-1.01,0.1,344
2.74,0.08,344
0.59,0.08,343
-1.35,0.1,343
-2.86,0.08,342
-2.45,0.08,342
-0.88,0.08,341
0.79,0.08,341
-1.57,0.12,341
-1.95,0.11,341
1.25,0.1,340
1.29,0.08,340
-3.03,0.1,340
2.52,0.09,339
0.52,0.09,339
-2.27,0.08,339
-1.47,0.11,339
-1.7,0.09,339
0.69,0.08,338
1.95,0.11,338
-0.36,0.09,338
0.14,0.08,337
-1.15,0.1,337
1.79,0.1,337
0.12,0.09,336
0.28,0.08,336
1.01,0.1,335
-2.19,0.09,334
-0.32,0.07,334
-2.74,0.08,334
2.28,0.1,333
-1.11,0.12,333
-1.86,0.11,333
-2.82,0.07,333
-1.93,0.09,331
-0.59,0.08,331
-2.9,0.09,331
2.86,0.08,331
-1.11,0.1,331
1.57,0.11,329
1.84,0.12,329
1.98,0.08,329
-1.28,0.11,328
0.17,0.06,328
0.0,0.1,327
-1.77,0.11,327
3.0,0.08,327
-0.24,0.09,326
-0.69,0.08,326
-2.36,0.11,326
1.05,0.09,326
1.67,0.11,326
0.95,0.09,326
-2.08,0.11,326
-2.62,0.09,325
2.63,0.11,325
-2.68,0.1,325
-2.58,0.1,325
1.86,0.11,325
-2.28,0.1,324
2.16,0.12,324
-1.25,0.1,324
-1.68,0.1,324
-1.57,0.11,324
-1.89,0.1,324
1.82,0.13,324
2.04,0.1,323
2.72,0.1,323
-1.21,0.09,323
-1.85,0.08,323
2.68,0.1,322
-2.09,0.09,322
1.97,0.14,322
1.7,0.09,322
1.68,0.1,322
-2.13,0.1,322
0.24,0.09,321
-0.4,0.08,321
0.79,0.09,321
1.57,0.12,320
1.35,0.1,320
1.49,0.13,320
1.21,0.09,320
1.17,0.08,320
